timestamp,operation,latency_ms,status,error
2026-09-26 03:56:48.015439,INSERT,6.797,success,
2026-09-26 03:56:48.020911,UPDATE,3.964,success,
2026-09-26 03:56:48.028283,DELETE,6.877,success,
2026-09-26 03:56:48.139153,INSERT,9.532,success,
2026-09-26 03:56:48.146617,UPDATE,5.26,success,
2026-09-26 03:56:48.152301,DELETE,3.927,success,
2026-09-26 03:56:48.263584,INSERT,9.138,success,
2026-09-26 03:56:48.269960,UPDATE,4.271,success,
2026-09-26 03:56:48.275204,DELETE,3.744,success,
2026-09-26 03:56:48.383361,INSERT,4.619,success,
2026-09-26 03:56:48.388199,UPDATE,3.335,success,
2026-09-26 03:56:48.395111,DELETE,5.65,success,
2026-09-26 03:56:48.536437,INSERT,6.725,success,
2026-09-26 03:56:48.541181,UPDATE,3.215,success,
2026-09-26 03:56:48.555029,DELETE,3.727,success,
2026-09-26 03:56:48.666022,INSERT,9.19,success,
2026-09-26 03:56:48.673423,UPDATE,4.804,success,
2026-09-26 03:56:48.678032,DELETE,3.486,success,
2026-09-26 03:56:48.783922,INSERT,4.323,success,
2026-09-26 03:56:48.789686,UPDATE,3.758,success,
2026-09-26 03:56:48.794377,DELETE,3.736,success,
2026-09-26 03:56:48.904786,INSERT,7.84,success,
2026-09-26 03:56:48.911703,UPDATE,5.099,success,
2026-09-26 03:56:48.918083,DELETE,3.449,success,
2026-09-26 03:56:49.034337,INSERT,12.408,success,
2026-09-26 03:56:49.040224,UPDATE,3.989,success,
2026-09-26 03:56:49.045649,DELETE,4.056,success,
2026-09-26 03:56:49.157147,INSERT,6.723,success,
2026-09-26 03:56:49.163976,UPDATE,4.808,success,
2026-09-26 03:56:49.169709,DELETE,3.771,success,
2026-09-26 03:56:49.279488,INSERT,7.554,success,
2026-09-26 03:56:49.285808,UPDATE,4.31,success,
2026-09-26 03:56:49.290846,DELETE,3.806,success,
2026-09-26 03:56:49.404289,INSERT,9.897,success,
2026-09-26 03:56:49.415920,UPDATE,8.885,success,
2026-09-26 03:56:49.420579,DELETE,3.259,success,
2026-09-26 03:56:49.531857,INSERT,8.856,success,
2026-09-26 03:56:49.539494,UPDATE,5.537,success,
2026-09-26 03:56:49.545163,DELETE,4.157,success,
2026-09-26 03:56:49.655994,INSERT,8.44,success,
2026-09-26 03:56:49.662763,UPDATE,4.676,success,
2026-09-26 03:56:49.667837,DELETE,3.772,success,
2026-09-26 03:56:49.782939,INSERT,12.633,success,
2026-09-26 03:56:49.789456,UPDATE,4.402,success,
2026-09-26 03:56:49.793841,DELETE,3.298,success,
2026-09-26 03:56:49.904006,INSERT,8.1,success,
2026-09-26 03:56:49.911886,UPDATE,5.726,success,
2026-09-26 03:56:49.917640,DELETE,4.347,success,
2026-09-26 03:56:50.026755,INSERT,6.935,success,
2026-09-26 03:56:50.033959,UPDATE,5.039,success,
2026-09-26 03:56:50.041361,DELETE,4.545,success,
2026-09-26 03:56:50.149134,INSERT,3.158,success,
2026-09-26 03:56:50.155730,UPDATE,4.093,success,
2026-09-26 03:56:50.177016,DELETE,9.601,success,
2026-09-26 03:56:50.289556,INSERT,5.803,success,
2026-09-26 03:56:50.295032,UPDATE,4.748,success,
2026-09-26 03:56:50.299207,DELETE,3.288,success,
2026-09-26 03:56:50.406728,INSERT,5.876,success,
2026-09-26 03:56:50.410278,UPDATE,2.85,success,
2026-09-26 03:56:50.413802,DELETE,2.759,success,
2026-09-26 03:56:50.518662,INSERT,3.829,success,
2026-09-26 03:56:50.521942,UPDATE,2.765,success,
2026-09-26 03:56:50.525694,DELETE,3.243,success,
2026-09-26 03:56:50.634496,INSERT,6.976,success,
2026-09-26 03:56:50.638468,UPDATE,3.264,success,
2026-09-26 03:56:50.642226,DELETE,2.803,success,
2026-09-26 03:56:50.750396,INSERT,5.058,success,
2026-09-26 03:56:50.754563,UPDATE,3.672,success,
2026-09-26 03:56:50.758592,DELETE,3.559,success,
2026-09-26 03:56:50.867795,INSERT,5.661,success,
2026-09-26 03:56:50.872927,UPDATE,4.547,success,
2026-09-26 03:56:50.876660,DELETE,3.34,success,
2026-09-26 03:56:50.983719,INSERT,4.733,success,
2026-09-26 03:56:50.987808,UPDATE,3.098,success,
2026-09-26 03:56:50.991515,DELETE,2.958,success,
2026-09-26 03:56:51.104227,INSERT,6.776,success,
2026-09-26 03:56:51.114689,UPDATE,9.329,success,
2026-09-26 03:56:51.119735,DELETE,3.227,success,
2026-09-26 03:56:51.227458,INSERT,6.064,success,
2026-09-26 03:56:51.232835,UPDATE,3.602,success,
2026-09-26 03:56:51.236659,DELETE,2.905,success,
2026-09-26 03:56:51.344516,INSERT,6.141,success,
2026-09-26 03:56:51.348592,UPDATE,3.008,success,
2026-09-26 03:56:51.353481,DELETE,2.802,success,
2026-09-26 03:56:51.464762,INSERT,10.021,success,
2026-09-26 03:56:51.469665,UPDATE,3.459,success,
2026-09-26 03:56:51.474542,DELETE,3.899,success,
2026-09-26 03:56:51.588397,INSERT,9.092,success,
2026-09-26 03:56:51.595061,UPDATE,5.697,success,
2026-09-26 03:56:51.603058,DELETE,7.068,success,
2026-09-26 03:56:51.710385,INSERT,5.789,success,
2026-09-26 03:56:51.715210,UPDATE,3.259,success,
2026-09-26 03:56:51.722147,DELETE,6.192,success,
2026-09-26 03:56:51.829406,INSERT,5.306,success,
2026-09-26 03:56:51.833613,UPDATE,3.27,success,
2026-09-26 03:56:51.838031,DELETE,3.674,success,
2026-09-26 03:56:51.945004,INSERT,5.424,success,
2026-09-26 03:56:51.951760,UPDATE,5.354,success,
2026-09-26 03:56:51.956403,DELETE,3.607,success,
2026-09-26 03:56:52.064061,INSERT,5.395,success,
2026-09-26 03:56:52.068818,UPDATE,3.312,success,
2026-09-26 03:56:52.072898,DELETE,3.416,success,
2026-09-26 03:56:52.186433,INSERT,12.203,success,
2026-09-26 03:56:52.203417,UPDATE,14.129,success,
2026-09-26 03:56:52.210889,DELETE,6.264,success,
2026-09-26 03:56:52.318191,INSERT,5.187,success,
2026-09-26 03:56:52.322208,UPDATE,3.057,success,
2026-09-26 03:56:52.326020,DELETE,3.141,success,
2026-09-26 03:56:52.433053,INSERT,5.516,success,
2026-09-26 03:56:52.441478,UPDATE,7.175,success,
2026-09-26 03:56:52.448104,DELETE,4.648,success,
2026-09-26 03:56:52.575137,INSERT,22.682,success,
2026-09-26 03:56:52.591366,UPDATE,14.322,success,
2026-09-26 03:56:52.602630,DELETE,5.782,success,
2026-09-26 03:56:52.709331,INSERT,5.293,success,
2026-09-26 03:56:52.713586,UPDATE,3.367,success,
2026-09-26 03:56:52.717026,DELETE,2.778,success,
2026-09-26 03:56:52.824856,INSERT,6.861,success,
2026-09-26 03:56:52.830339,UPDATE,3.931,success,
2026-09-26 03:56:52.833778,DELETE,3.019,success,
2026-09-26 03:56:52.939351,INSERT,4.244,success,
2026-09-26 03:56:52.945431,UPDATE,4.519,success,
2026-09-26 03:56:52.952267,DELETE,4.154,success,
2026-09-26 03:56:53.057766,INSERT,3.708,success,
2026-09-26 03:56:53.062822,UPDATE,4.418,success,
2026-09-26 03:56:53.066604,DELETE,3.318,success,
2026-09-26 03:56:53.170432,INSERT,3.195,success,
2026-09-26 03:56:53.173579,UPDATE,2.685,success,
2026-09-26 03:56:53.176988,DELETE,2.883,success,
2026-09-26 03:56:53.283771,INSERT,5.91,success,
2026-09-26 03:56:53.287261,UPDATE,2.96,success,
2026-09-26 03:56:53.292460,DELETE,4.617,success,
2026-09-26 03:56:53.404502,INSERT,3.396,success,
2026-09-26 03:56:53.409977,UPDATE,4.015,success,
2026-09-26 03:56:53.421468,DELETE,6.969,success,
2026-09-26 03:56:53.535871,INSERT,6.055,success,
2026-09-26 03:56:53.540311,UPDATE,3.611,success,
2026-09-26 03:56:53.545335,DELETE,4.385,success,
2026-09-26 03:56:53.654575,INSERT,7.987,success,
2026-09-26 03:56:53.658330,UPDATE,3.092,success,
2026-09-26 03:56:53.665876,DELETE,3.207,success,
2026-09-26 03:56:53.781423,INSERT,12.404,success,
2026-09-26 03:56:53.789211,UPDATE,6.548,success,
2026-09-26 03:56:53.806558,DELETE,5.854,success,
2026-09-26 03:56:53.916951,INSERT,4.214,success,
2026-09-26 03:56:53.920698,UPDATE,3.238,success,
2026-09-26 03:56:53.923690,DELETE,2.64,success,
2026-09-26 03:56:54.029437,INSERT,4.619,success,
2026-09-26 03:56:54.033911,UPDATE,3.35,success,
2026-09-26 03:56:54.038100,DELETE,3.057,success,
2026-09-26 03:56:54.142947,INSERT,3.67,success,
2026-09-26 03:56:54.150087,UPDATE,5.856,success,
2026-09-26 03:56:54.154784,DELETE,3.405,success,
2026-09-26 03:56:54.261184,INSERT,5.387,success,
2026-09-26 03:56:54.265281,UPDATE,3.25,success,
2026-09-26 03:56:54.269380,DELETE,3.38,success,
2026-09-26 03:56:54.376692,INSERT,5.757,success,
2026-09-26 03:56:54.381652,UPDATE,3.967,success,
2026-09-26 03:56:54.386620,DELETE,3.719,success,
2026-09-26 03:56:54.499392,INSERT,10.696,success,
2026-09-26 03:56:54.504390,UPDATE,3.624,success,
2026-09-26 03:56:54.509970,DELETE,4.209,success,
2026-09-26 03:56:54.622768,INSERT,7.842,success,
2026-09-26 03:56:54.629129,UPDATE,5.039,success,
2026-09-26 03:56:54.638047,DELETE,7.618,success,
2026-09-26 03:56:54.746115,INSERT,6.568,success,
2026-09-26 03:56:54.752784,UPDATE,4.199,success,
2026-09-26 03:56:54.759206,DELETE,4.35,success,
2026-09-26 03:56:54.870758,INSERT,7.916,success,
2026-09-26 03:56:54.879138,UPDATE,6.738,success,
2026-09-26 03:56:54.885752,DELETE,4.953,success,
2026-09-26 03:56:54.996434,INSERT,9.032,success,
2026-09-26 03:56:55.006518,UPDATE,8.508,success,
2026-09-26 03:56:55.013377,DELETE,5.632,success,
2026-09-26 03:56:55.124342,INSERT,8.909,success,
2026-09-26 03:56:55.131731,UPDATE,5.153,success,
2026-09-26 03:56:55.136965,DELETE,3.816,success,
2026-09-26 03:56:55.244940,INSERT,6.665,success,
2026-09-26 03:56:55.250212,UPDATE,3.74,success,
2026-09-26 03:56:55.256688,DELETE,5.004,success,
2026-09-26 03:56:55.364866,INSERT,5.864,success,
2026-09-26 03:56:55.370156,UPDATE,4.126,success,
2026-09-26 03:56:55.375346,DELETE,4.025,success,
2026-09-26 03:56:55.485873,INSERT,7.467,success,
2026-09-26 03:56:55.494966,UPDATE,7.446,success,
2026-09-26 03:56:55.500280,DELETE,3.791,success,
2026-09-26 03:56:55.608036,INSERT,5.283,success,
2026-09-26 03:56:55.619137,UPDATE,5.153,success,
2026-09-26 03:56:55.628543,DELETE,7.401,success,
2026-09-26 03:56:55.738839,INSERT,6.696,success,
2026-09-26 03:56:55.744086,UPDATE,3.604,success,
2026-09-26 03:56:55.749705,DELETE,4.032,success,
2026-09-26 03:56:55.854480,INSERT,3.276,success,
2026-09-26 03:56:55.860534,UPDATE,4.95,success,
2026-09-26 03:56:55.865449,DELETE,4.165,success,
2026-09-26 03:56:55.974298,INSERT,6.911,success,
2026-09-26 03:56:55.983124,UPDATE,6.375,success,
2026-09-26 03:56:55.989135,DELETE,4.63,success,
2026-09-26 03:56:56.101399,INSERT,9.842,success,
2026-09-26 03:56:56.107116,UPDATE,4.192,success,
2026-09-26 03:56:56.112194,DELETE,3.805,success,
2026-09-26 03:56:56.237502,INSERT,8.334,success,
2026-09-26 03:56:56.242925,UPDATE,4.025,success,
2026-09-26 03:56:56.247999,DELETE,3.745,success,
2026-09-26 03:56:56.357771,INSERT,7.172,success,
2026-09-26 03:56:56.364579,UPDATE,5.719,success,
2026-09-26 03:56:56.369104,DELETE,3.311,success,
2026-09-26 03:56:56.476795,INSERT,6.007,success,
2026-09-26 03:56:56.481619,UPDATE,3.966,success,
2026-09-26 03:56:56.486681,DELETE,3.885,success,
2026-09-26 03:56:56.594831,INSERT,6.48,success,
2026-09-26 03:56:56.599759,UPDATE,3.981,success,
2026-09-26 03:56:56.604569,DELETE,3.714,success,
2026-09-26 03:56:56.714618,INSERT,7.885,success,
2026-09-26 03:56:56.719981,UPDATE,4.336,success,
2026-09-26 03:56:56.724789,DELETE,3.744,success,
2026-09-26 03:56:56.837774,INSERT,10.893,success,
2026-09-26 03:56:56.844707,UPDATE,5.322,success,
2026-09-26 03:56:56.850423,DELETE,3.987,success,
2026-09-26 03:56:56.962222,INSERT,9.819,success,
2026-09-26 03:56:56.968725,UPDATE,5.019,success,
2026-09-26 03:56:56.974765,DELETE,4.4,success,
2026-09-26 03:56:57.088230,INSERT,9.758,success,
2026-09-26 03:56:57.094678,UPDATE,4.658,success,
2026-09-26 03:56:57.100305,DELETE,3.792,success,
2026-09-26 03:56:57.210106,INSERT,7.368,success,
2026-09-26 03:56:57.220660,UPDATE,7.708,success,
2026-09-26 03:56:57.240736,DELETE,7.21,success,
2026-09-26 03:56:57.358576,INSERT,7.499,success,
2026-09-26 03:56:57.364465,UPDATE,3.987,success,
2026-09-26 03:56:57.370461,DELETE,4.85,success,
2026-09-26 03:56:57.481105,INSERT,8.966,success,
2026-09-26 03:56:57.488201,UPDATE,5.237,success,
2026-09-26 03:56:57.494304,DELETE,4.165,success,
2026-09-26 03:56:57.609144,INSERT,12.562,success,
2026-09-26 03:56:57.617359,UPDATE,4.629,success,
2026-09-26 03:56:57.622654,DELETE,3.749,success,
2026-09-26 03:56:57.736409,INSERT,11.892,success,
2026-09-26 03:56:57.744420,UPDATE,5.907,success,
2026-09-26 03:56:57.751015,DELETE,4.34,success,
2026-09-26 03:56:57.862996,INSERT,9.824,success,
2026-09-26 03:56:57.870381,UPDATE,5.63,success,
2026-09-26 03:56:57.877379,DELETE,5.164,success,
2026-09-26 03:56:57.993313,INSERT,11.357,success,
2026-09-26 03:56:58.006297,UPDATE,10.53,success,
2026-09-26 03:56:58.010632,DELETE,3.503,success,
2026-09-26 03:56:58.119944,INSERT,7.536,success,
2026-09-26 03:56:58.131030,UPDATE,8.609,success,
2026-09-26 03:56:58.137003,DELETE,4.556,success,
2026-09-26 03:56:58.248969,INSERT,9.473,success,
2026-09-26 03:56:58.257114,UPDATE,6.232,success,
2026-09-26 03:56:58.265283,DELETE,3.74,success,
2026-09-26 03:56:58.376116,INSERT,8.427,success,
2026-09-26 03:56:58.383758,UPDATE,5.208,success,
2026-09-26 03:56:58.389837,DELETE,4.685,success,
2026-09-26 03:56:58.506081,INSERT,13.254,success,
2026-09-26 03:56:58.517217,UPDATE,7.053,success,
2026-09-26 03:56:58.534057,DELETE,9.292,success,
2026-09-26 03:56:58.641470,INSERT,4.999,success,
2026-09-26 03:56:58.740732,UPDATE,37.228,success,
2026-09-26 03:56:58.749146,DELETE,7.313,success,
2026-09-26 03:56:58.860587,INSERT,9.764,success,
2026-09-26 03:56:58.867913,UPDATE,5.068,success,
2026-09-26 03:56:58.873688,DELETE,4.417,success,
2026-09-26 03:56:58.988870,INSERT,13.564,success,
2026-09-26 03:56:58.996503,UPDATE,6.035,success,
2026-09-26 03:56:59.002953,DELETE,4.672,success,
2026-09-26 03:56:59.110417,INSERT,5.842,success,
2026-09-26 03:56:59.116089,UPDATE,4.097,success,
2026-09-26 03:56:59.121419,DELETE,3.956,success,
2026-09-26 03:56:59.236114,INSERT,12.948,success,
2026-09-26 03:56:59.243574,UPDATE,5.783,success,
2026-09-26 03:56:59.249484,DELETE,4.462,success,
2026-09-26 03:56:59.359355,INSERT,7.901,success,
2026-09-26 03:56:59.367236,UPDATE,5.234,success,
2026-09-26 03:56:59.373032,DELETE,4.316,success,
2026-09-26 03:56:59.483257,INSERT,8.352,success,
2026-09-26 03:56:59.493777,UPDATE,9.042,success,
2026-09-26 03:56:59.499535,DELETE,4.18,success,
2026-09-26 03:56:59.610441,INSERT,8.494,success,
2026-09-26 03:56:59.618369,UPDATE,5.99,success,
2026-09-26 03:56:59.623951,DELETE,4.298,success,
2026-09-26 03:56:59.736782,INSERT,8.686,success,
2026-09-26 03:56:59.742963,UPDATE,5.172,success,
2026-09-26 03:56:59.748351,DELETE,3.789,success,
2026-09-26 03:56:59.859064,INSERT,8.62,success,
2026-09-26 03:56:59.864670,UPDATE,3.769,success,
2026-09-26 03:56:59.869766,DELETE,3.522,success,
2026-09-26 03:56:59.980357,INSERT,8.753,success,
